Timestamp,Relative_Time,TYAGA_raw (kg),TYAGA_processed (kg),FT_F01_raw (rpm)
2025-02-11 15:25:45.171,33.057,80928,1536.33,1063.83
2025-02-11 15:25:45.278,33.164,81139,1538.21,1063.83
2025-02-11 15:25:45.279,33.165,81139,1538.21,1063.83
2025-02-11 15:25:45.388,33.274,81139,1538.21,1063.83
2025-02-11 15:25:45.388,33.274,80909,1536.16,1063.83
2025-02-11 15:25:45.497,33.383,81357,1540.15,1063.83
2025-02-11 15:25:45.497,33.383,81357,1540.15,1063.83
2025-02-11 15:25:45.607,33.493,81231,1539.03,1063.83
2025-02-11 15:25:45.607,33.493,81231,1539.03,929.8865
2025-02-11 15:25:45.713,33.599,81231,1539.03,929.8865
2025-02-11 15:25:45.713,33.599,81231,1539.03,929.8865
2025-02-11 15:25:45.714,33.6,81320,1539.82,929.8865
2025-02-11 15:25:45.822,33.708,81373,1540.29,929.8865
2025-02-11 15:25:45.930,33.815,81373,1540.29,929.8865
2025-02-11 15:25:45.930,33.815,81335,1539.95,929.8865
2025-02-11 15:25:46.038,33.924,81335,1539.95,929.8865
2025-02-11 15:25:46.038,33.924,81335,1539.95,893.8148
2025-02-11 15:25:46.039,33.925,81256,1539.25,893.8148
2025-02-11 15:25:46.040,33.926,81256,1539.25,893.8148
2025-02-11 15:25:46.148,34.033,81355,1540.13,893.8148
2025-02-11 15:25:46.254,34.14,81355,1540.13,893.8148
2025-02-11 15:25:46.361,34.247,81230,1539.02,893.8148
2025-02-11 15:25:46.361,34.247,81230,1539.02,893.8148
2025-02-11 15:25:46.362,34.248,81230,1539.02,893.8148
2025-02-11 15:25:46.362,34.248,81399,1540.52,893.8148
2025-02-11 15:25:46.470,34.356,81399,1540.52,893.8148
2025-02-11 15:25:46.470,34.356,81399,1540.52,847.3858
2025-02-11 15:25:46.471,34.357,81157,1538.37,847.3858
2025-02-11 15:25:46.471,34.357,81157,1538.37,847.3858
2025-02-11 15:25:46.576,34.462,81412,1540.64,847.3858
2025-02-11 15:25:46.577,34.463,81412,1540.64,847.3858
2025-02-11 15:25:46.684,34.57,81412,1540.64,847.3858
2025-02-11 15:25:46.794,34.679,81274,1539.41,847.3858
2025-02-11 15:25:46.903,34.789,81274,1539.41,847.3858
2025-02-11 15:25:46.904,34.79,81274,1539.41,847.3858
2025-02-11 15:25:46.905,34.791,81489,1541.32,847.3858
2025-02-11 15:25:46.905,34.791,81489,1541.32,847.3858
2025-02-11 15:25:46.906,34.792,81489,1541.32,863.9309
2025-02-11 15:25:47.012,34.898,81044,1537.36,863.9309
